Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Canada, Carretera , Medium ," $819,00 "," $3,00 "," $7,00 "," $5.733,00 ", $7," $5.217,03 "," $4.095,00 "," $1.122,03 ",1/7/2014,7, July ,2014
Channel Partners,Germany, Carretera , Medium ," $1.580,00 "," $3,00 "," $12,00 "," $18.960,00 ", $12," $17.253,60 "," $4.740,00 "," $12.513,60 ",1/9/2014,9, September ,2014
Government,Mexico, Carretera , Medium ," $521,00 "," $3,00 "," $7,00 "," $3.647,00 ", $7," $3.318,77 "," $2.605,00 "," $713,77 ",1/12/2014,12, December ,2014
Government,United States of America, Paseo , Medium ," $973,00 "," $10,00 "," $20,00 "," $19.460,00 ", $20," $17.708,60 "," $9.730,00 "," $7.978,60 ",1/3/2014,3, March ,2014
Government,Mexico, Paseo , Medium ," $1.038,00 "," $10,00 "," $20,00 "," $20.760,00 ", $20," $18.891,60 "," $10.380,00 "," $8.511,60 ",1/6/2014,6, June ,2014
Government,Germany, Paseo , Medium ," $360,00 "," $10,00 "," $7,00 "," $2.520,00 ", $7," $2.293,20 "," $1.800,00 "," $493,20 ",1/10/2014,10, October ,2014
Channel Partners,France, Velo , Medium ," $1.967,00 "," $120,00 "," $12,00 "," $23.604,00 ", $12," $21.479,64 "," $5.901,00 "," $15.578,64 ",1/3/2014,3, March ,2014
Midmarket,Mexico, Velo , Medium ," $2.628,00 "," $120,00 "," $15,00 "," $39.420,00 ", $15," $35.872,20 "," $26.280,00 "," $9.592,20 ",1/4/2014,4, April ,2014
Government,Germany, VTT , Medium ," $360,00 "," $250,00 "," $7,00 "," $2.520,00 ", $7," $2.293,20 "," $1.800,00 "," $493,20 ",1/10/2014,10, October ,2014
Government,France, VTT , Medium ," $2.682,00 "," $250,00 "," $20,00 "," $53.640,00 ", $20," $48.812,40 "," $26.820,00 "," $21.992,40 ",1/11/2013,11, November ,2013
Government,Mexico, VTT , Medium ," $521,00 "," $250,00 "," $7,00 "," $3.647,00 ", $7," $3.318,77 "," $2.605,00 "," $713,77 ",1/12/2014,12, December ,2014
Government,Mexico, Amarilla , Medium ," $1.038,00 "," $260,00 "," $20,00 "," $20.760,00 ", $20," $18.891,60 "," $10.380,00 "," $8.511,60 ",1/6/2014,6, June ,2014
Midmarket,Canada, Amarilla , Medium ," $1.630,50 "," $260,00 "," $15,00 "," $24.457,50 ", $15," $22.256,33 "," $16.305,00 "," $5.951,33 ",1/7/2014,7, July ,2014
Channel Partners,France, Amarilla , Medium ," $306,00 "," $260,00 "," $12,00 "," $3.672,00 ", $12," $3.341,52 "," $918,00 "," $2.423,52 ",1/12/2013,12, December ,2013
Channel Partners,United States of America, Carretera , High ," $386,00 "," $3,00 "," $12,00 "," $4.632,00 ", $12," $4.168,80 "," $1.158,00 "," $3.010,80 ",1/10/2013,10, October ,2013
Government,United States of America, Montana , High ," $2.328,00 "," $5,00 "," $7,00 "," $16.296,00 ", $7," $14.666,40 "," $11.640,00 "," $3.026,40 ",1/9/2014,9, September ,2014
Channel Partners,United States of America, Paseo , High ," $386,00 "," $10,00 "," $12,00 "," $4.632,00 ", $12," $4.168,80 "," $1.158,00 "," $3.010,80 ",1/10/2013,10, October ,2013
Enterprise,United States of America, Carretera , High ," $3.445,50 "," $3,00 "," $125,00 "," $430.687,50 ", $125," $387.618,75 "," $413.460,00 "," $(25.841,25)",1/4/2014,4, April ,2014
Enterprise,France, Carretera , High ," $1.482,00 "," $3,00 "," $125,00 "," $185.250,00 ", $125," $166.725,00 "," $177.840,00 "," $(11.115,00)",1/12/2013,12, December ,2013
Government,United States of America, Montana , High ," $2.313,00 "," $5,00 "," $350,00 "," $809.550,00 ", $350," $728.595,00 "," $601.380,00 "," $127.215,00 ",1/5/2014,5, May ,2014
Enterprise,United States of America, Montana , High ," $1.804,00 "," $5,00 "," $125,00 "," $225.500,00 ", $125," $202.950,00 "," $216.480,00 "," $(13.530,00)",1/11/2013,11, November ,2013
Midmarket,France, Montana , High ," $2.072,00 "," $5,00 "," $15,00 "," $31.080,00 ", $15," $27.972,00 "," $20.720,00 "," $7.252,00 ",1/12/2014,12, December ,2014
Government,France, Paseo , High ," $1.954,00 "," $10,00 "," $20,00 "," $39.080,00 ", $20," $35.172,00 "," $19.540,00 "," $15.632,00 ",1/3/2014,3, March ,2014
Small Business,Mexico, Paseo , High ," $591,00 "," $10,00 "," $300,00 "," $177.300,00 ", $300," $159.570,00 "," $147.750,00 "," $11.820,00 ",1/5/2014,5, May ,2014
Midmarket,France, Paseo , High ," $2.167,00 "," $10,00 "," $15,00 "," $32.505,00 ", $15," $29.254,50 "," $21.670,00 "," $7.584,50 ",1/10/2013,10, October ,2013
Government,Germany, Paseo , High ," $241,00 "," $10,00 "," $20,00 "," $4.820,00 ", $20," $4.338,00 "," $2.410,00 "," $1.928,00 ",1/10/2014,10, October ,2014
Midmarket,Germany, Velo , High ," $681,00 "," $120,00 "," $15,00 "," $10.215,00 ", $15," $9.193,50 "," $6.810,00 "," $2.383,50 ",1/1/2014,1, January ,2014
Midmarket,Germany, Velo , High ," $510,00 "," $120,00 "," $15,00 "," $7.650,00 ", $15," $6.885,00 "," $5.100,00 "," $1.785,00 ",1/4/2014,4, April ,2014
Midmarket,United States of America, Velo , High ," $790,00 "," $120,00 "," $15,00 "," $11.850,00 ", $15," $10.665,00 "," $7.900,00 "," $2.765,00 ",1/5/2014,5, May ,2014
Government,France, Velo , High ," $639,00 "," $120,00 "," $350,00 "," $223.650,00 ", $350," $201.285,00 "," $166.140,00 "," $35.145,00 ",1/7/2014,7, July ,2014
Enterprise,United States of America, Velo , High ," $1.596,00 "," $120,00 "," $125,00 "," $199.500,00 ", $125," $179.550,00 "," $191.520,00 "," $(11.970,00)",1/9/2014,9, September ,2014
Small Business,United States of America, Velo , High ," $2.294,00 "," $120,00 "," $300,00 "," $688.200,00 ", $300," $619.380,00 "," $573.500,00 "," $45.880,00 ",1/10/2013,10, October ,2013
Government,Germany, Velo , High ," $241,00 "," $120,00 "," $20,00 "," $4.820,00 ", $20," $4.338,00 "," $2.410,00 "," $1.928,00 ",1/10/2014,10, October ,2014
Government,Germany, Velo , High ," $2.665,00 "," $120,00 "," $7,00 "," $18.655,00 ", $7," $16.789,50 "," $13.325,00 "," $3.464,50 ",1/11/2014,11, November ,2014
Enterprise,Canada, Velo , High ," $1.916,00 "," $120,00 "," $125,00 "," $239.500,00 ", $125," $215.550,00 "," $229.920,00 "," $(14.370,00)",1/12/2013,12, December ,2013
Small Business,France, Velo , High ," $853,00 "," $120,00 "," $300,00 "," $255.900,00 ", $300," $230.310,00 "," $213.250,00 "," $17.060,00 ",1/12/2014,12, December ,2014
Enterprise,Mexico, VTT , High ," $341,00 "," $250,00 "," $125,00 "," $42.625,00 ", $125," $38.362,50 "," $40.920,00 "," $(2.557,50)",1/5/2014,5, May ,2014
Midmarket,Mexico, VTT , High ," $641,00 "," $250,00 "," $15,00 "," $9.615,00 ", $15," $8.653,50 "," $6.410,00 "," $2.243,50 ",1/7/2014,7, July ,2014
Government,United States of America, VTT , High ," $2.807,00 "," $250,00 "," $350,00 "," $982.450,00 ", $350," $884.205,00 "," $729.820,00 "," $154.385,00 ",1/8/2014,8, August ,2014
Small Business,Mexico, VTT , High ," $432,00 "," $250,00 "," $300,00 "," $129.600,00 ", $300," $116.640,00 "," $108.000,00 "," $8.640,00 ",1/9/2014,9, September ,2014
Small Business,United States of America, VTT , High ," $2.294,00 "," $250,00 "," $300,00 "," $688.200,00 ", $300," $619.380,00 "," $573.500,00 "," $45.880,00 ",1/10/2013,10, October ,2013
Midmarket,France, VTT , High ," $2.167,00 "," $250,00 "," $15,00 "," $32.505,00 ", $15," $29.254,50 "," $21.670,00 "," $7.584,50 ",1/10/2013,10, October ,2013
Enterprise,Canada, VTT , High ," $2.529,00 "," $250,00 "," $125,00 "," $316.125,00 ", $125," $284.512,50 "," $303.480,00 "," $(18.967,50)",1/11/2014,11, November ,2014
Government,Germany, VTT , High ," $1.870,00 "," $250,00 "," $350,00 "," $654.500,00 ", $350," $589.050,00 "," $486.200,00 "," $102.850,00 ",1/12/2013,12, December ,2013
Enterprise,United States of America, Amarilla , High ," $579,00 "," $260,00 "," $125,00 "," $72.375,00 ", $125," $65.137,50 "," $69.480,00 "," $(4.342,50)",1/1/2014,1, January ,2014
Government,Canada, Amarilla , High ," $2.240,00 "," $260,00 "," $350,00 "," $784.000,00 ", $350," $705.600,00 "," $582.400,00 "," $123.200,00 ",1/2/2014,2, February ,2014
Small Business,United States of America, Amarilla , High ," $2.993,00 "," $260,00 "," $300,00 "," $897.900,00 ", $300," $808.110,00 "," $748.250,00 "," $59.860,00 ",1/3/2014,3, March ,2014
Channel Partners,Canada, Amarilla , High ," $3.520,50 "," $260,00 "," $12,00 "," $42.246,00 ", $12," $38.021,40 "," $10.561,50 "," $27.459,90 ",1/4/2014,4, April ,2014
Government,Mexico, Amarilla , High ," $2.039,00 "," $260,00 "," $20,00 "," $40.780,00 ", $20," $36.702,00 "," $20.390,00 "," $16.312,00 ",1/5/2014,5, May ,2014
Channel Partners,Germany, Amarilla , High ," $2.574,00 "," $260,00 "," $12,00 "," $30.888,00 ", $12," $27.799,20 "," $7.722,00 "," $20.077,20 ",1/8/2014,8, August ,2014
Government,Canada, Amarilla , High ," $707,00 "," $260,00 "," $350,00 "," $247.450,00 ", $350," $222.705,00 "," $183.820,00 "," $38.885,00 ",1/9/2014,9, September ,2014
Midmarket,France, Amarilla , High ," $2.072,00 "," $260,00 "," $15,00 "," $31.080,00 ", $15," $27.972,00 "," $20.720,00 "," $7.252,00 ",1/12/2014,12, December ,2014
Small Business,France, Amarilla , High ," $853,00 "," $260,00 "," $300,00 "," $255.900,00 ", $300," $230.310,00 "," $213.250,00 "," $17.060,00 ",1/12/2014,12, December ,2014
Channel Partners,France, Carretera , High ," $1.198,00 "," $3,00 "," $12,00 "," $14.376,00 ", $12," $12.794,64 "," $3.594,00 "," $9.200,64 ",1/10/2013,10, October ,2013
Government,France, Paseo , High ," $2.532,00 "," $10,00 "," $7,00 "," $17.724,00 ", $7," $15.774,36 "," $12.660,00 "," $3.114,36 ",1/4/2014,4, April ,2014
Channel Partners,France, Paseo , High ," $1.198,00 "," $10,00 "," $12,00 "," $14.376,00 ", $12," $12.794,64 "," $3.594,00 "," $9.200,64 ",1/10/2013,10, October ,2013
Midmarket,Canada, Velo , High ," $384,00 "," $120,00 "," $15,00 "," $5.760,00 ", $15," $5.126,40 "," $3.840,00 "," $1.286,40 ",1/1/2014,1, January ,2014
Channel Partners,Germany, Velo , High ," $472,00 "," $120,00 "," $12,00 "," $5.664,00 ", $12," $5.040,96 "," $1.416,00 "," $3.624,96 ",1/10/2014,10, October ,2014
Government,United States of America, VTT , High ," $1.579,00 "," $250,00 "," $7,00 "," $11.053,00 ", $7," $9.837,17 "," $7.895,00 "," $1.942,17 ",1/3/2014,3, March ,2014
Channel Partners,Mexico, VTT , High ," $1.005,00 "," $250,00 "," $12,00 "," $12.060,00 ", $12," $10.733,40 "," $3.015,00 "," $7.718,40 ",1/9/2013,9, September ,2013
Midmarket,United States of America, Amarilla , High ," $3.199,50 "," $260,00 "," $15,00 "," $47.992,50 ", $15," $42.713,33 "," $31.995,00 "," $10.718,33 ",1/7/2014,7, July ,2014
Channel Partners,Germany, Amarilla , High ," $472,00 "," $260,00 "," $12,00 "," $5.664,00 ", $12," $5.040,96 "," $1.416,00 "," $3.624,96 ",1/10/2014,10, October ,2014
Channel Partners,Canada, Carretera , High ," $1.937,00 "," $3,00 "," $12,00 "," $23.244,00 ", $12," $20.687,16 "," $5.811,00 "," $14.876,16 ",1/2/2014,2, February ,2014
Government,Germany, Carretera , High ," $792,00 "," $3,00 "," $350,00 "," $277.200,00 ", $350," $246.708,00 "," $205.920,00 "," $40.788,00 ",1/3/2014,3, March ,2014
Small Business,Germany, Carretera , High ," $2.811,00 "," $3,00 "," $300,00 "," $843.300,00 ", $300," $750.537,00 "," $702.750,00 "," $47.787,00 ",1/7/2014,7, July ,2014
Enterprise,France, Carretera , High ," $2.441,00 "," $3,00 "," $125,00 "," $305.125,00 ", $125," $271.561,25 "," $292.920,00 "," $(21.358,75)",1/10/2014,10, October ,2014
Midmarket,Canada, Carretera , High ," $1.560,00 "," $3,00 "," $15,00 "," $23.400,00 ", $15," $20.826,00 "," $15.600,00 "," $5.226,00 ",1/11/2013,11, November ,2013
Government,Mexico, Carretera , High ," $2.706,00 "," $3,00 "," $7,00 "," $18.942,00 ", $7," $16.858,38 "," $13.530,00 "," $3.328,38 ",1/11/2013,11, November ,2013
Government,Germany, Montana , High ," $766,00 "," $5,00 "," $350,00 "," $268.100,00 ", $350," $238.609,00 "," $199.160,00 "," $39.449,00 ",1/1/2014,1, January ,2014
Government,Germany, Montana , High ," $2.992,00 "," $5,00 "," $20,00 "," $59.840,00 ", $20," $53.257,60 "," $29.920,00 "," $23.337,60 ",1/10/2013,10, October ,2013
Midmarket,Mexico, Montana , High ," $2.157,00 "," $5,00 "," $15,00 "," $32.355,00 ", $15," $28.795,95 "," $21.570,00 "," $7.225,95 ",1/12/2014,12, December ,2014
Small Business,Canada, Paseo , High ," $873,00 "," $10,00 "," $300,00 "," $261.900,00 ", $300," $233.091,00 "," $218.250,00 "," $14.841,00 ",1/1/2014,1, January ,2014
Government,Mexico, Paseo , High ," $1.122,00 "," $10,00 "," $20,00 "," $22.440,00 ", $20," $19.971,60 "," $11.220,00 "," $8.751,60 ",1/3/2014,3, March ,2014
Government,Canada, Paseo , High ," $2.104,50 "," $10,00 "," $350,00 "," $736.575,00 ", $350," $655.551,75 "," $547.170,00 "," $108.381,75 ",1/7/2014,7, July ,2014
Channel Partners,Canada, Paseo , High ," $4.026,00 "," $10,00 "," $12,00 "," $48.312,00 ", $12," $42.997,68 "," $12.078,00 "," $30.919,68 ",1/7/2014,7, July ,2014
Channel Partners,France, Paseo , High ," $2.425,50 "," $10,00 "," $12,00 "," $29.106,00 ", $12," $25.904,34 "," $7.276,50 "," $18.627,84 ",1/7/2014,7, July ,2014
Government,Canada, Paseo , High ," $2.394,00 "," $10,00 "," $20,00 "," $47.880,00 ", $20," $42.613,20 "," $23.940,00 "," $18.673,20 ",1/8/2014,8, August ,2014
Midmarket,Mexico, Paseo , High ," $1.984,00 "," $10,00 "," $15,00 "," $29.760,00 ", $15," $26.486,40 "," $19.840,00 "," $6.646,40 ",1/8/2014,8, August ,2014
Enterprise,France, Paseo , High ," $2.441,00 "," $10,00 "," $125,00 "," $305.125,00 ", $125," $271.561,25 "," $292.920,00 "," $(21.358,75)",1/10/2014,10, October ,2014
Government,Germany, Paseo , High ," $2.992,00 "," $10,00 "," $20,00 "," $59.840,00 ", $20," $53.257,60 "," $29.920,00 "," $23.337,60 ",1/10/2013,10, October ,2013
Small Business,Canada, Paseo , High ," $1.366,00 "," $10,00 "," $300,00 "," $409.800,00 ", $300," $364.722,00 "," $341.500,00 "," $23.222,00 ",1/11/2014,11, November ,2014
Government,France, Velo , High ," $2.805,00 "," $120,00 "," $20,00 "," $56.100,00 ", $20," $49.929,00 "," $28.050,00 "," $21.879,00 ",1/9/2013,9, September ,2013
Midmarket,Mexico, Velo , High ," $655,00 "," $120,00 "," $15,00 "," $9.825,00 ", $15," $8.744,25 "," $6.550,00 "," $2.194,25 ",1/9/2013,9, September ,2013
Government,Mexico, Velo , High ," $344,00 "," $120,00 "," $350,00 "," $120.400,00 ", $350," $107.156,00 "," $89.440,00 "," $17.716,00 ",1/10/2013,10, October ,2013
Government,Canada, Velo , High ," $1.808,00 "," $120,00 "," $7,00 "," $12.656,00 ", $7," $11.263,84 "," $9.040,00 "," $2.223,84 ",1/11/2014,11, November ,2014
Channel Partners,France, VTT , High ," $1.734,00 "," $250,00 "," $12,00 "," $20.808,00 ", $12," $18.519,12 "," $5.202,00 "," $13.317,12 ",1/1/2014,1, January ,2014
Enterprise,Mexico, VTT , High ," $554,00 "," $250,00 "," $125,00 "," $69.250,00 ", $125," $61.632,50 "," $66.480,00 "," $(4.847,50)",1/1/2014,1, January ,2014
Government,Canada, VTT , High ," $2.935,00 "," $250,00 "," $20,00 "," $58.700,00 ", $20," $52.243,00 "," $29.350,00 "," $22.893,00 ",1/11/2013,11, November ,2013
Enterprise,Germany, Amarilla , High ," $3.165,00 "," $260,00 "," $125,00 "," $395.625,00 ", $125," $352.106,25 "," $379.800,00 "," $(27.693,75)",1/1/2014,1, January ,2014
Government,Mexico, Amarilla , High ," $2.629,00 "," $260,00 "," $20,00 "," $52.580,00 ", $20," $46.796,20 "," $26.290,00 "," $20.506,20 ",1/1/2014,1, January ,2014
Enterprise,France, Amarilla , High ," $1.433,00 "," $260,00 "," $125,00 "," $179.125,00 ", $125," $159.421,25 "," $171.960,00 "," $(12.538,75)",1/5/2014,5, May ,2014
Enterprise,Mexico, Amarilla , High ," $947,00 "," $260,00 "," $125,00 "," $118.375,00 ", $125," $105.353,75 "," $113.640,00 "," $(8.286,25)",1/9/2013,9, September ,2013
Government,Mexico, Amarilla , High ," $344,00 "," $260,00 "," $350,00 "," $120.400,00 ", $350," $107.156,00 "," $89.440,00 "," $17.716,00 ",1/10/2013,10, October ,2013
Midmarket,Mexico, Amarilla , High ," $2.157,00 "," $260,00 "," $15,00 "," $32.355,00 ", $15," $28.795,95 "," $21.570,00 "," $7.225,95 ",1/12/2014,12, December ,2014
Government,United States of America, Paseo , High ," $380,00 "," $10,00 "," $7,00 "," $2.660,00 ", $7," $2.367,40 "," $1.900,00 "," $467,40 ",1/9/2013,9, September ,2013
Government,Mexico, Carretera , High ," $886,00 "," $3,00 "," $350,00 "," $310.100,00 ", $350," $272.888,00 "," $230.360,00 "," $42.528,00 ",1/6/2014,6, June ,2014
Enterprise,Canada, Carretera , High ," $2.416,00 "," $3,00 "," $125,00 "," $302.000,00 ", $125," $265.760,00 "," $289.920,00 "," $(24.160,00)",1/9/2013,9, September ,2013
Enterprise,Mexico, Carretera , High ," $2.156,00 "," $3,00 "," $125,00 "," $269.500,00 ", $125," $237.160,00 "," $258.720,00 "," $(21.560,00)",1/10/2014,10, October ,2014
Midmarket,Canada, Carretera , High ," $2.689,00 "," $3,00 "," $15,00 "," $40.335,00 ", $15," $35.494,80 "," $26.890,00 "," $8.604,80 ",1/11/2014,11, November ,2014
Midmarket,United States of America, Montana , High ," $677,00 "," $5,00 "," $15,00 "," $10.155,00 ", $15," $8.936,40 "," $6.770,00 "," $2.166,40 ",1/3/2014,3, March ,2014
Small Business,France, Montana , High ," $1.773,00 "," $5,00 "," $300,00 "," $531.900,00 ", $300," $468.072,00 "," $443.250,00 "," $24.822,00 ",1/4/2014,4, April ,2014
Government,Mexico, Montana , High ," $2.420,00 "," $5,00 "," $7,00 "," $16.940,00 ", $7," $14.907,20 "," $12.100,00 "," $2.807,20 ",1/9/2014,9, September ,2014
Government,Canada, Montana , High ," $2.734,00 "," $5,00 "," $7,00 "," $19.138,00 ", $7," $16.841,44 "," $13.670,00 "," $3.171,44 ",1/10/2014,10, October ,2014
Government,Mexico, Montana , High ," $1.715,00 "," $5,00 "," $20,00 "," $34.300,00 ", $20," $30.184,00 "," $17.150,00 "," $13.034,00 ",1/10/2013,10, October ,2013
Small Business,France, Montana , High ," $1.186,00 "," $5,00 "," $300,00 "," $355.800,00 ", $300," $313.104,00 "," $296.500,00 "," $16.604,00 ",1/12/2013,12, December ,2013
Small Business,United States of America, Paseo , High ," $3.495,00 "," $10,00 "," $300,00 "," $1.048.500,00 ", $300," $922.680,00 "," $873.750,00 "," $48.930,00 ",1/1/2014,1, January ,2014
Government,Mexico, Paseo , High ," $886,00 "," $10,00 "," $350,00 "," $310.100,00 ", $350," $272.888,00 "," $230.360,00 "," $42.528,00 ",1/6/2014,6, June ,2014
Enterprise,Mexico, Paseo , High ," $2.156,00 "," $10,00 "," $125,00 "," $269.500,00 ", $125," $237.160,00 "," $258.720,00 "," $(21.560,00)",1/10/2014,10, October ,2014
Government,Mexico, Paseo , High ," $905,00 "," $10,00 "," $20,00 "," $18.100,00 ", $20," $15.928,00 "," $9.050,00 "," $6.878,00 ",1/10/2014,10, October ,2014
Government,Mexico, Paseo , High ," $1.715,00 "," $10,00 "," $20,00 "," $34.300,00 ", $20," $30.184,00 "," $17.150,00 "," $13.034,00 ",1/10/2013,10, October ,2013
Government,France, Paseo , High ," $1.594,00 "," $10,00 "," $350,00 "," $557.900,00 ", $350," $490.952,00 "," $414.440,00 "," $76.512,00 ",1/11/2014,11, November ,2014
Small Business,Germany, Paseo , High ," $1.359,00 "," $10,00 "," $300,00 "," $407.700,00 ", $300," $358.776,00 "," $339.750,00 "," $19.026,00 ",1/11/2014,11, November ,2014
Small Business,Mexico, Paseo , High ," $2.150,00 "," $10,00 "," $300,00 "," $645.000,00 ", $300," $567.600,00 "," $537.500,00 "," $30.100,00 ",1/11/2014,11, November ,2014
Government,Mexico, Paseo , High ," $1.197,00 "," $10,00 "," $350,00 "," $418.950,00 ", $350," $368.676,00 "," $311.220,00 "," $57.456,00 ",1/11/2014,11, November ,2014
Midmarket,Mexico, Paseo , High ," $380,00 "," $10,00 "," $15,00 "," $5.700,00 ", $15," $5.016,00 "," $3.800,00 "," $1.216,00 ",1/12/2013,12, December ,2013
Government,Mexico, Paseo , High ," $1.233,00 "," $10,00 "," $20,00 "," $24.660,00 ", $20," $21.700,80 "," $12.330,00 "," $9.370,80 ",1/12/2014,12, December ,2014
Government,Mexico, Velo , High ," $1.395,00 "," $120,00 "," $350,00 "," $488.250,00 ", $350," $429.660,00 "," $362.700,00 "," $66.960,00 ",1/7/2014,7, July ,2014
Government,United States of America, Velo , High ," $986,00 "," $120,00 "," $350,00 "," $345.100,00 ", $350," $303.688,00 "," $256.360,00 "," $47.328,00 ",1/10/2014,10, October ,2014
Government,Mexico, Velo , High ," $905,00 "," $120,00 "," $20,00 "," $18.100,00 ", $20," $15.928,00 "," $9.050,00 "," $6.878,00 ",1/10/2014,10, October ,2014
Channel Partners,Canada, VTT , High ," $2.109,00 "," $250,00 "," $12,00 "," $25.308,00 ", $12," $22.271,04 "," $6.327,00 "," $15.944,04 ",1/5/2014,5, May ,2014
Midmarket,France, VTT , High ," $3.874,50 "," $250,00 "," $15,00 "," $58.117,50 ", $15," $51.143,40 "," $38.745,00 "," $12.398,40 ",1/7/2014,7, July ,2014
Government,Canada, VTT , High ," $623,00 "," $250,00 "," $350,00 "," $218.050,00 ", $350," $191.884,00 "," $161.980,00 "," $29.904,00 ",1/9/2013,9, September ,2013
Government,United States of America, VTT , High ," $986,00 "," $250,00 "," $350,00 "," $345.100,00 ", $350," $303.688,00 "," $256.360,00 "," $47.328,00 ",1/10/2014,10, October ,2014
Enterprise,United States of America, VTT , High ," $2.387,00 "," $250,00 "," $125,00 "," $298.375,00 ", $125," $262.570,00 "," $286.440,00 "," $(23.870,00)",1/11/2014,11, November ,2014
Government,Mexico, VTT , High ," $1.233,00 "," $250,00 "," $20,00 "," $24.660,00 ", $20," $21.700,80 "," $12.330,00 "," $9.370,80 ",1/12/2014,12, December ,2014
Government,United States of America, Amarilla , High ," $270,00 "," $260,00 "," $350,00 "," $94.500,00 ", $350," $83.160,00 "," $70.200,00 "," $12.960,00 ",1/2/2014,2, February ,2014
Government,France, Amarilla , High ," $3.421,50 "," $260,00 "," $7,00 "," $23.950,50 ", $7," $21.076,44 "," $17.107,50 "," $3.968,94 ",1/7/2014,7, July ,2014
Government,Canada, Amarilla , High ," $2.734,00 "," $260,00 "," $7,00 "," $19.138,00 ", $7," $16.841,44 "," $13.670,00 "," $3.171,44 ",1/10/2014,10, October ,2014
Midmarket,United States of America, Amarilla , High ," $2.548,00 "," $260,00 "," $15,00 "," $38.220,00 ", $15," $33.633,60 "," $25.480,00 "," $8.153,60 ",1/11/2013,11, November ,2013
Government,France, Carretera , High ," $2.521,50 "," $3,00 "," $20,00 "," $50.430,00 ", $20," $44.378,40 "," $25.215,00 "," $19.163,40 ",1/1/2014,1, January ,2014
Channel Partners,Mexico, Montana , High ," $2.661,00 "," $5,00 "," $12,00 "," $31.932,00 ", $12," $28.100,16 "," $7.983,00 "," $20.117,16 ",1/5/2014,5, May ,2014
Government,Germany, Paseo , High ," $1.531,00 "," $10,00 "," $20,00 "," $30.620,00 ", $20," $26.945,60 "," $15.310,00 "," $11.635,60 ",1/12/2014,12, December ,2014
Government,France, VTT , High ," $1.491,00 "," $250,00 "," $7,00 "," $10.437,00 ", $7," $9.184,56 "," $7.455,00 "," $1.729,56 ",1/3/2014,3, March ,2014
Government,Germany, VTT , High ," $1.531,00 "," $250,00 "," $20,00 "," $30.620,00 ", $20," $26.945,60 "," $15.310,00 "," $11.635,60 ",1/12/2014,12, December ,2014
Channel Partners,Canada, Amarilla , High ," $2.761,00 "," $260,00 "," $12,00 "," $33.132,00 ", $12," $29.156,16 "," $8.283,00 "," $20.873,16 ",1/9/2013,9, September ,2013
Midmarket,United States of America, Carretera , High ," $2.567,00 "," $3,00 "," $15,00 "," $38.505,00 ", $15," $33.499,35 "," $25.670,00 "," $7.829,35 ",1/6/2014,6, June ,2014
Midmarket,United States of America, VTT , High ," $2.567,00 "," $250,00 "," $15,00 "," $38.505,00 ", $15," $33.499,35 "," $25.670,00 "," $7.829,35 ",1/6/2014,6, June ,2014
Government,Canada, Carretera , High ," $923,00 "," $3,00 "," $350,00 "," $323.050,00 ", $350," $281.053,50 "," $239.980,00 "," $41.073,50 ",1/3/2014,3, March ,2014
Government,France, Carretera , High ," $1.790,00 "," $3,00 "," $350,00 "," $626.500,00 ", $350," $545.055,00 "," $465.400,00 "," $79.655,00 ",1/3/2014,3, March ,2014
Government,Germany, Carretera , High ," $442,00 "," $3,00 "," $20,00 "," $8.840,00 ", $20," $7.690,80 "," $4.420,00 "," $3.270,80 ",1/9/2013,9, September ,2013
Government,United States of America, Montana , High ," $982,50 "," $5,00 "," $350,00 "," $343.875,00 ", $350," $299.171,25 "," $255.450,00 "," $43.721,25 ",1/1/2014,1, January ,2014
Government,United States of America, Montana , High ," $1.298,00 "," $5,00 "," $7,00 "," $9.086,00 ", $7," $7.904,82 "," $6.490,00 "," $1.414,82 ",1/2/2014,2, February ,2014
Channel Partners,Mexico, Montana , High ," $604,00 "," $5,00 "," $12,00 "," $7.248,00 ", $12," $6.305,76 "," $1.812,00 "," $4.493,76 ",1/6/2014,6, June ,2014
Government,Mexico, Montana , High ," $2.255,00 "," $5,00 "," $20,00 "," $45.100,00 ", $20," $39.237,00 "," $22.550,00 "," $16.687,00 ",1/7/2014,7, July ,2014
Government,Canada, Montana , High ," $1.249,00 "," $5,00 "," $20,00 "," $24.980,00 ", $20," $21.732,60 "," $12.490,00 "," $9.242,60 ",1/10/2014,10, October ,2014
Government,United States of America, Paseo , High ," $1.438,50 "," $10,00 "," $7,00 "," $10.069,50 ", $7," $8.760,47 "," $7.192,50 "," $1.567,97 ",1/1/2014,1, January ,2014
Small Business,Germany, Paseo , High ," $807,00 "," $10,00 "," $300,00 "," $242.100,00 ", $300," $210.627,00 "," $201.750,00 "," $8.877,00 ",1/1/2014,1, January ,2014
Government,United States of America, Paseo , High ," $2.641,00 "," $10,00 "," $20,00 "," $52.820,00 ", $20," $45.953,40 "," $26.410,00 "," $19.543,40 ",1/2/2014,2, February ,2014
Government,Germany, Paseo , High ," $2.708,00 "," $10,00 "," $20,00 "," $54.160,00 ", $20," $47.119,20 "," $27.080,00 "," $20.039,20 ",1/2/2014,2, February ,2014
